index,brand,title,price
165,联想（lenovo）,联想小新Pro13 高性能超轻薄本 2.5K超清屏13.3英寸全面屏学生游戏设计师pr办公,6799.00
166,联想（lenovo）,联想拯救者R7000 Ps设计师制图15.6英寸高端八核R7轻薄手提游戏,6999.00
167,联想（lenovo）,联想（Lenovo)游戏本 拯救者R7000 15.6英寸全高清电竞游戏,6699.00
168,联想（lenovo）,旗舰版锐龙,5299.00
169,联想（lenovo）,联想ideapad15S 15.6英寸酷睿i3超轻薄本,3599.00
170,联想（lenovo）,联想（Lenovo）昭阳K4e-IIL十代酷睿i5高性能14英寸超薄商务办公学生设计轻薄,4299.00
171,联想（lenovo）,联想（Lenovo）YOGA 14s 2021款 14英寸全面屏超轻薄,6046.00
172,联想（lenovo）,联想（Lenovo）拯救者R7000 15.6英寸游戏,5966.00
173,联想（lenovo）,"
联想拯救者R7000 15.6英寸标压六核高性能吃鸡游戏本3D设计轻薄手提",6299.00
174,联想（lenovo）,联想小新15 2020锐龙版r7/r5高性能15.6英寸大屏超轻薄,4999.00
175,联想（lenovo）,联想拯救者Y7000P竞技版游戏,9999.00
176,联想（lenovo）,联想小新15 2020 十代英特尔酷睿i5 15.6英寸全面屏轻薄,4549.00
177,联想（lenovo）,联想拯救者R7000P 2020电竞游戏,7988.00
178,联想（lenovo）,联想拯救者Y7000 15.6英寸2020十代酷睿i5/i7高色域游戏本p 学生设计师吃鸡,6699.00
179,联想（lenovo）,联想,6659.00
180,联想（lenovo）,【12期免息】联想V14 2020款高性能酷睿十代i7窄边框超轻薄学生设计游戏商务办公手提,7599.00
181,联想（lenovo）,联想,6399.00
182,联想（lenovo）,联想,6099.00
183,联想（lenovo）,联想(Lenovo)S540 13.3英寸酷睿i7四核高性能超薄本网课商务办公轻薄学生,6099.00
184,联想（lenovo）,联想(Lenovo)小新Air15 2021款锐龙版全面屏高色域 轻薄办公商务游戏学生便携,5799.00
185,联想（lenovo）,"	
【二手9成新】联想（ThinkPad) T420/T430/T450s 14寸1G独显",1299.00
186,联想（lenovo）,联想（Lenovo）小新15 15.6英寸大屏酷睿i5超轻薄办公设计,5599.00
187,联想（lenovo）,【2021】联想,8599.00
188,联想（lenovo）,联想,3899.00
189,联想（lenovo）,联想IdeaPad15s,4699.00
190,联想（lenovo）,联想（Lenovo）Y9000X拯救者 4K屏 英特尔酷睿i7 15.6英寸游戏本超轻薄,7099.00
191,联想（lenovo）,联想拯救者y7000 2020高端款英特尔十代酷睿电竞游戏本pr 100%高色域设计,7499.00
